opcode_int,opcode_hex,name,signature,memarg,extra_imm
0,00,v128.load,[i32] \to [v128],1,0
1,01,v128.load8x8_s,[i32] \to [v128],1,0
2,02,v128.load8x8_u,[i32] \to [v128],1,0
3,03,v128.load16x4_s,[i32] \to [v128],1,0
4,04,v128.load16x4_u,[i32] \to [v128],1,0
5,05,v128.load32x2_s,[i32] \to [v128],1,0
6,06,v128.load32x2_u,[i32] \to [v128],1,0
7,07,v128.load8_splat,[i32] \to [v128],1,0
8,08,v128.load16_splat,[i32] \to [v128],1,0
9,09,v128.load32_splat,[i32] \to [v128],1,0
10,0a,v128.load64_splat,[i32] \to [v128],1,0
11,0b,v128.store,[i32~v128] \to [],1,0
12,0c,v128.const,[] \to [v128],0,0
13,0d,i8x16.shuffle,[v128~v128] \to [v128],0,16
14,0e,i8x16.swizzle,[v128~v128] \to [v128],0,0
15,0f,i8x16.splat,[i32] \to [v128],0,0
16,10,i16x8.splat,[i32] \to [v128],0,0
17,11,i32x4.splat,[i32] \to [v128],0,0
18,12,i64x2.splat,[i64] \to [v128],0,0
19,13,f32x4.splat,[f32] \to [v128],0,0
20,14,f64x2.splat,[f64] \to [v128],0,0
21,15,i8x16.extract_lane_s,[v128] \to [i32],0,1
22,16,i8x16.extract_lane_u,[v128] \to [i32],0,1
23,17,i8x16.replace_lane,[v128~i32] \to [v128],0,1
24,18,i16x8.extract_lane_s,[v128] \to [i32],0,1
25,19,i16x8.extract_lane_u,[v128] \to [i32],0,1
26,1a,i16x8.replace_lane,[v128~i32] \to [v128],0,1
27,1b,i32x4.extract_lane,[v128] \to [i32],0,1
28,1c,i32x4.replace_lane,[v128~i32] \to [v128],0,1
29,1d,i64x2.extract_lane,[v128] \to [i64],0,1
30,1e,i64x2.replace_lane,[v128~i64] \to [v128],0,1
31,1f,f32x4.extract_lane,[v128] \to [f32],0,1
32,20,f32x4.replace_lane,[v128~f32] \to [v128],0,1
33,21,f64x2.extract_lane,[v128] \to [f64],0,1
34,22,f64x2.replace_lane,[v128~f64] \to [v128],0,1
35,23,i8x16.eq,[v128~v128] \to [v128],0,0
36,24,i8x16.ne,[v128~v128] \to [v128],0,0
37,25,i8x16.lt_s,[v128~v128] \to [v128],0,0
38,26,i8x16.lt_u,[v128~v128] \to [v128],0,0
39,27,i8x16.gt_s,[v128~v128] \to [v128],0,0
40,28,i8x16.gt_u,[v128~v128] \to [v128],0,0
41,29,i8x16.le_s,[v128~v128] \to [v128],0,0
42,2a,i8x16.le_u,[v128~v128] \to [v128],0,0
43,2b,i8x16.ge_s,[v128~v128] \to [v128],0,0
44,2c,i8x16.ge_u,[v128~v128] \to [v128],0,0
45,2d,i16x8.eq,[v128~v128] \to [v128],0,0
46,2e,i16x8.ne,[v128~v128] \to [v128],0,0
47,2f,i16x8.lt_s,[v128~v128] \to [v128],0,0
48,30,i16x8.lt_u,[v128~v128] \to [v128],0,0
49,31,i16x8.gt_s,[v128~v128] \to [v128],0,0
50,32,i16x8.gt_u,[v128~v128] \to [v128],0,0
51,33,i16x8.le_s,[v128~v128] \to [v128],0,0
52,34,i16x8.le_u,[v128~v128] \to [v128],0,0
53,35,i16x8.ge_s,[v128~v128] \to [v128],0,0
54,36,i16x8.ge_u,[v128~v128] \to [v128],0,0
55,37,i32x4.eq,[v128~v128] \to [v128],0,0
56,38,i32x4.ne,[v128~v128] \to [v128],0,0
57,39,i32x4.lt_s,[v128~v128] \to [v128],0,0
58,3a,i32x4.lt_u,[v128~v128] \to [v128],0,0
59,3b,i32x4.gt_s,[v128~v128] \to [v128],0,0
60,3c,i32x4.gt_u,[v128~v128] \to [v128],0,0
61,3d,i32x4.le_s,[v128~v128] \to [v128],0,0
62,3e,i32x4.le_u,[v128~v128] \to [v128],0,0
63,3f,i32x4.ge_s,[v128~v128] \to [v128],0,0
64,40,i32x4.ge_u,[v128~v128] \to [v128],0,0
65,41,f32x4.eq,[v128~v128] \to [v128],0,0
66,42,f32x4.ne,[v128~v128] \to [v128],0,0
67,43,f32x4.lt,[v128~v128] \to [v128],0,0
68,44,f32x4.gt,[v128~v128] \to [v128],0,0
69,45,f32x4.le,[v128~v128] \to [v128],0,0
70,46,f32x4.ge,[v128~v128] \to [v128],0,0
71,47,f64x2.eq,[v128~v128] \to [v128],0,0
72,48,f64x2.ne,[v128~v128] \to [v128],0,0
73,49,f64x2.lt,[v128~v128] \to [v128],0,0
